Publicly confirmed as deceased as of 5pm this day,Date published by DHSC,UK Cumulative count of deaths in all settings,UK Daily count of deaths in all settings
05-Mar-20,06-Mar-20,1,1
06-Mar-20,07-Mar-20,2,1
07-Mar-20,08-Mar-20,2,0
08-Mar-20,09-Mar-20,3,1
09-Mar-20,10-Mar-20,7,4
10-Mar-20,11-Mar-20,7,0
11-Mar-20,12-Mar-20,9,2
12-Mar-20,13-Mar-20,10,1
13-Mar-20,14-Mar-20,28,18
14-Mar-20,15-Mar-20,43,15
15-Mar-20,16-Mar-20,65,22
16-Mar-20,17-Mar-20,81,16
17-Mar-20,18-Mar-20,115,34
18-Mar-20,19-Mar-20,158,43
19-Mar-20,20-Mar-20,194,36
20-Mar-20,21-Mar-20,250,56
21-Mar-20,22-Mar-20,285,35
22-Mar-20,23-Mar-20,359,74
23-Mar-20,24-Mar-20,508,149
24-Mar-20,25-Mar-20,695,187
25-Mar-20,26-Mar-20,878,183
26-Mar-20,27-Mar-20,1162,284
27-Mar-20,28-Mar-20,1456,294
28-Mar-20,29-Mar-20,1670,214
29-Mar-20,30-Mar-20,2044,374
30-Mar-20,31-Mar-20,2426,382
31-Mar-20,01-Apr-20,3096,670
01-Apr-20,02-Apr-20,3748,652
02-Apr-20,03-Apr-20,4462,714
03-Apr-20,04-Apr-20,5222,760
04-Apr-20,05-Apr-20,5866,644
05-Apr-20,06-Apr-20,6434,568
06-Apr-20,07-Apr-20,7472,1038
07-Apr-20,08-Apr-20,8506,1034
08-Apr-20,09-Apr-20,9616,1110
09-Apr-20,10-Apr-20,10768,1152
10-Apr-20,11-Apr-20,11608,840
11-Apr-20,12-Apr-20,12294,686
12-Apr-20,13-Apr-20,13038,744
13-Apr-20,14-Apr-20,14085,1047
14-Apr-20,15-Apr-20,14927,842
15-Apr-20,16-Apr-20,15956,1029
16-Apr-20,17-Apr-20,16892,936
17-Apr-20,18-Apr-20,18007,1115
18-Apr-20,19-Apr-20,18505,498
19-Apr-20,20-Apr-20,19064,559
20-Apr-20,21-Apr-20,20237,1173
21-Apr-20,22-Apr-20,21074,837
22-Apr-20,23-Apr-20,21801,727
23-Apr-20,24-Apr-20,22807,1006
24-Apr-20,25-Apr-20,23650,843
25-Apr-20,26-Apr-20,24070,420
26-Apr-20,27-Apr-20,24408,338
27-Apr-20,28-Apr-20,25319,911
28-Apr-20,29-Apr-20,26114,765
29-Apr-20,30-Apr-20,26788,674
30-Apr-20,01-May-20,27528,740
01-May-20,02-May-20,28149,621
02-May-20,03-May-20,28464,315
03-May-20,04-May-20,28752,288
04-May-20,05-May-20,29446,694
05-May-20,06-May-20,30098,652
06-May-20,07-May-20,30638,540
07-May-20,08-May-20,31265,627
08-May-20,09-May-20,31611,346
09-May-20,10-May-20,31879,269
10-May-20,11-May-20,32090,211
11-May-20,12-May-20,32720,630
12-May-20,13-May-20,33216,496
13-May-20,14-May-20,33644,428
14-May-20,15-May-20,34028,384
15-May-20,16-May-20,34508,480
16-May-20,17-May-20,34678,170
17-May-20,18-May-20,34838,160
18-May-20,19-May-20,35386,548
19-May-20,20-May-20,35755,369
20-May-20,21-May-20,36093,338
21-May-20,22-May-20,36451,358
22-May-20,23-May-20,36734,283
23-May-20,24-May-20,37175,441
24-May-20,25-May-20,37297,122
25-May-20,26-May-20,37433,136
26-May-20,27-May-20,37876,443
27-May-20,28-May-20,38292,416
28-May-20,29-May-20,38665,373
29-May-20,30-May-20,38895,230
30-May-20,31-May-20,39010,115
31-May-20,01-Jun-20,39121,111
01-Jun-20,02-Jun-20,39447,326
02-Jun-20,03-Jun-20,39812,365
03-Jun-20,04-Jun-20,39989,177
04-Jun-20,05-Jun-20,40347,358
05-Jun-20,06-Jun-20,40554,207
06-Jun-20,07-Jun-20,40631,77
07-Jun-20,08-Jun-20,40686,55
08-Jun-20,09-Jun-20,40975,289
09-Jun-20,10-Jun-20,41225,250
10-Jun-20,11-Jun-20,41377,152
11-Jun-20,12-Jun-20,41581,204
12-Jun-20,13-Jun-20,41764,183
13-Jun-20,14-Jun-20,41800,36
14-Jun-20,15-Jun-20,41838,38
15-Jun-20,16-Jun-20,42074,236
16-Jun-20,17-Jun-20,42258,184
17-Jun-20,18-Jun-20,42395,137
18-Jun-20,19-Jun-20,42568,173
19-Jun-20,20-Jun-20,42698,130
20-Jun-20,21-Jun-20,42741,43
21-Jun-20,22-Jun-20,42756,15
22-Jun-20,23-Jun-20,42927,171
23-Jun-20,24-Jun-20,43081,154
24-Jun-20,25-Jun-20,43230,149
25-Jun-20,26-Jun-20,43414,186
26-Jun-20,27-Jun-20,43514,100
27-Jun-20,28-Jun-20,43550,36
28-Jun-20,29-Jun-20,43575,25
29-Jun-20,30-Jun-20,43730,155
30-Jun-20,01-Jul-20,43906,176
01-Jul-20,02-Jul-20,43995,89
02-Jul-20,03-Jul-20,44131,137
03-Jul-20,04-Jul-20,44198,67
04-Jul-20,05-Jul-20,44220,22
05-Jul-20,06-Jul-20,44236,16
06-Jul-20,07-Jul-20,44391,155
07-Jul-20,08-Jul-20,44517,126
08-Jul-20,09-Jul-20,44602,85
09-Jul-20,10-Jul-20,44650,48
10-Jul-20,11-Jul-20,44798,148
11-Jul-20,12-Jul-20,44819,21
12-Jul-20,13-Jul-20,44830,11
13-Jul-20,14-Jul-20,44968,138
14-Jul-20,15-Jul-20,45053,85
15-Jul-20,16-Jul-20,45119,66
16-Jul-20,17-Jul-20,N/A,N/A
17-Jul-20,18-Jul-20,N/A,N/A
18-Jul-20,19-Jul-20,N/A,N/A
19-Jul-20,20-Jul-20,N/A,N/A
20-Jul-20,21-Jul-20,N/A,N/A
21-Jul-20,22-Jul-20,N/A,N/A
22-Jul-20,23-Jul-20,N/A,N/A
23-Jul-20,24-Jul-20,N/A,N/A
24-Jul-20,25-Jul-20,N/A,N/A
